timestamp,command,mode,abletonIP,unityIP
"2026-04-22T17:09:32.522Z","start_vote","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:10:15.676Z","lock_and_average","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:10:31.414Z","initiate_performance","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:12:28.424Z","reset","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:12:31.334Z","start_vote","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:13:41.642Z","lock_and_average","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:13:50.682Z","initiate_performance","audio","127.0.0.1","127.0.0.1"
