timestamp,command,mode,abletonIP,unityIP
"2026-04-22T17:25:16.518Z","start_vote","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:25:59.699Z","lock_and_average","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:27:21.951Z","initiate_performance","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:27:44.894Z","reset","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:27:48.472Z","start_vote","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:28:22.457Z","lock_and_average","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:29:18.327Z","initiate_performance","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:29:51.133Z","reset","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:29:58.173Z","start_vote","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:30:05.435Z","start_vote","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:30:40.857Z","lock_and_average","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:31:13.562Z","initiate_performance","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:31:44.718Z","reset","visual","127.0.0.1","127.0.0.1"
