timestamp,username,submitted_at,seconds_to_submit,total_choices_made,genre,tempo,mode,human_guitar_tone,instruments,guitar_fx_choice,bass_fx_choice,piano_fx_choice,strings_fx_choice,winds_fx_choice,environment,d1_character,d1_move,d2_character,d2_move,drum1_char,drum2_char,guitar_char,bass_char,piano_char,strings_char,winds_char
"2026-04-30T22:13:22.584Z","Wes","2026-04-30T22:13:22.583Z","167.01","19","groove/funky","124","minor","3","{""guitar"":true,""bass"":true,""piano"":true,""strings"":true,""winds"":true}","airy","reverb","echo","chorus","phaser","","","","","","","","","","","",""
"2026-04-30T22:24:32.727Z","Wes","2026-04-30T22:24:32.726Z","105.49","12","","","","","","","","","","","haunted forest","moose_orc","drink","dark_noire","breakdance","goblin_elf","lizard_species","webbed_and_armored","flesh_eater","x-bot","y-bot","vampire"
"2026-04-30T22:37:59.066Z","Wes","2026-04-30T22:37:59.066Z","106.11","31","elegant/atmospheric","127","major","1","{""guitar"":true,""bass"":true,""piano"":true,""strings"":true,""winds"":true}","airy","reverb","echo","chorus","phaser","laser grid","flesh_eater","drink","lizard_species","drink","webbed_and_armored","vampire","moose_orc","goblin_elf","dark_noire","webbed_and_armored","lizard_species"
