timestamp,username,submitted_at,seconds_to_submit,total_choices_made,genre,tempo,mode,human_guitar_tone,instruments,guitar_fx_choice,bass_fx_choice,piano_fx_choice,strings_fx_choice,winds_fx_choice,environment,d1_character,d1_move,d2_character,d2_move,drum1_char,drum2_char,guitar_char,bass_char,piano_char,strings_char,winds_char
"2026-04-30T22:12:44.378Z","DanielLl","2026-04-30T22:12:44.377Z","128.80","5","","115","major","2","","dist","default","echo","default","phaser","","","","","","","","","","","",""
"2026-04-30T22:24:05.336Z","DanielLl","2026-04-30T22:24:05.336Z","78.10","11","","","","","","","","","","","","lizard_species","drink","werewolf","hiphop","x-bot","y-bot","werewolf","moose_orc","goblin_elf","webbed_and_armored","dark_noire"
"2026-04-30T22:37:36.805Z","DanielLl","2026-04-30T22:37:36.804Z","83.85","10","","115","","","{""guitar"":true,""bass"":true,""strings"":true,""winds"":false}","airy","default","default","default","phaser","","","","","","","","","","","",""
