timestamp,command,mode,abletonIP,unityIP
"2026-04-22T17:51:25.872Z","start_vote","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:51:46.524Z","lock_and_average","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:51:57.286Z","lock_and_average","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:52:59.687Z","initiate_performance","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:53:50.076Z","reset","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:53:53.352Z","start_vote","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:54:18.731Z","lock_and_average","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:54:43.639Z","initiate_performance","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:54:55.100Z","initiate_performance","audio","127.0.0.1","127.0.0.1"
