timestamp,round,count,mode,tempo,genre,mode_val,environment,humanGuitarTone,instruments,fx_choices,dancers,band,ai_audio,ai_instruments,ai_visual,distributions
"2026-04-22T17:51:46.525Z","1","2","visual","115","elegant/atmospheric","major","haunted forest","1","{""guitar"":2,""bass"":2,""piano"":0,""strings"":2,""winds"":0}","{""piano"":""default"",""guitar"":""airy"",""bass"":""reverb"",""strings"":""dist"",""winds"":""default""}","{""d1"":{""char"":""moose_orc"",""move"":""breakdance""},""d2"":{""char"":""vampire"",""move"":""drink""}}","{""members"":{""drum1"":null,""drum2"":null,""guitar"":null,""bass"":""vampire"",""piano"":null,""strings"":null,""winds"":null}}","true","true","true","{""genre"":{""elegant/atmospheric"":2},""mode"":{""major"":2},""environment"":{""haunted forest"":2},""tone"":{""1"":2},""fx"":{""piano_fx_choice"":{""none"":2},""guitar_fx_choice"":{""none"":2},""bass_fx_choice"":{""none"":2},""strings_fx_choice"":{""none"":2},""winds_fx_choice"":{""none"":2}},""d1_move"":{""breakdance"":2},""d2_move"":{""drink"":2},""band"":{""drum1"":{},""drum2"":{},""guitar"":{},""bass"":{""dark_noire"":1,""vampire"":1},""piano"":{},""strings"":{},""winds"":{}}}"
"2026-04-22T17:51:57.286Z","1","2","visual","115","elegant/atmospheric","minor","mars scape","2","{""guitar"":0,""bass"":2,""piano"":2,""strings"":2,""winds"":0}","{""piano"":""default"",""guitar"":""default"",""bass"":""reverb"",""strings"":""dist"",""winds"":""phaser""}","{""d1"":{""char"":""vampire"",""move"":""latin""},""d2"":{""char"":""lizard_species"",""move"":""hiphop""}}","{""members"":{""drum1"":null,""drum2"":null,""guitar"":null,""bass"":""vampire"",""piano"":null,""strings"":null,""winds"":null}}","true","true","true","{""genre"":{""elegant/atmospheric"":2},""mode"":{""minor"":2},""environment"":{""mars scape"":2},""tone"":{""2"":2},""fx"":{""piano_fx_choice"":{""none"":2},""guitar_fx_choice"":{""none"":2},""bass_fx_choice"":{""none"":2},""strings_fx_choice"":{""none"":2},""winds_fx_choice"":{""none"":2}},""d1_move"":{""latin"":2},""d2_move"":{""hiphop"":2},""band"":{""drum1"":{},""drum2"":{},""guitar"":{},""bass"":{""dark_noire"":1,""vampire"":1},""piano"":{},""strings"":{},""winds"":{}}}"
"2026-04-22T17:54:18.732Z","2","2","audio","124","elegant/atmospheric","minor","haunted forest","1","{""guitar"":2,""bass"":0,""piano"":0,""strings"":0,""winds"":2}","{""piano"":""default"",""guitar"":""default"",""bass"":""default"",""strings"":""default"",""winds"":""default""}","{""d1"":{""char"":""y-bot"",""move"":""drink""},""d2"":{""char"":""goblin_elf"",""move"":""drink""}}","{""members"":{""drum1"":null,""drum2"":null,""guitar"":null,""bass"":null,""piano"":null,""strings"":null,""winds"":null}}","true","true","{""genre"":{""drive/rock"":1,""elegant/atmospheric"":1},""mode"":{""major"":1,""minor"":1},""environment"":{""haunted forest"":2},""tone"":{""1"":1,""2"":1},""fx"":{""piano_fx_choice"":{""none"":2},""guitar_fx_choice"":{""none"":2},""bass_fx_choice"":{""none"":2},""strings_fx_choice"":{""none"":2},""winds_fx_choice"":{""none"":2}},""d1_move"":{""drink"":2},""d2_move"":{""drink"":2},""band"":{""drum1"":{},""drum2"":{},""guitar"":{},""bass"":{},""piano"":{},""strings"":{},""winds"":{}}}"
