timestamp,username,submitted_at,seconds_to_submit,total_choices_made,genre,tempo,mode,human_guitar_tone,instruments,guitar_fx_choice,bass_fx_choice,piano_fx_choice,strings_fx_choice,winds_fx_choice,environment,d1_character,d1_move,d2_character,d2_move,drum1_char,drum2_char,guitar_char,bass_char,piano_char,strings_char,winds_char
"2026-05-01T01:11:10.741Z","Sherr","2026-05-01T01:11:10.740Z","119.22","12","","","","","","","","","","","haunted forest","moose_orc","latin","goblin_elf","hiphop","moose_orc","goblin_elf","werewolf","dark_noire","flesh_eater","moose_orc","vampire"
"2026-05-01T01:22:38.167Z","Sherr","2026-05-01T01:22:38.166Z","75.46","13","drive/rock","115","major","3","{""guitar"":true,""bass"":true,""piano"":true,""strings"":true,""winds"":false}","","","","","","","","","","","","","","","","",""
"2026-05-01T01:36:09.620Z","Sherr","2026-05-01T01:36:09.618Z","134.67","26","pulse/hiphop","133","major","2","{""guitar"":true,""bass"":true,""piano"":true,""strings"":true,""winds"":true}","","","","","","haunted forest","moose_orc","breakdance","flesh_eater","breakdance","dark_noire","goblin_elf","vampire","flesh_eater","vampire","moose_orc","flesh_eater"
