timestamp,username,submitted_at,seconds_to_submit,total_choices_made,genre,tempo,mode,human_guitar_tone,instruments,guitar_fx_choice,bass_fx_choice,piano_fx_choice,strings_fx_choice,winds_fx_choice,environment,d1_character,d1_move,d2_character,d2_move,drum1_char,drum2_char,guitar_char,bass_char,piano_char,strings_char,winds_char
"2026-05-01T01:10:38.500Z","Graham","2026-05-01T01:10:38.499Z","86.98","12","","","","","","","","","","","mars scape","werewolf","drink","moose_orc","breakdance","vampire","vampire","goblin_elf","moose_orc","werewolf","werewolf","werewolf"
"2026-05-01T01:22:38.057Z","Graham","2026-05-01T01:22:38.055Z","75.35","16","drive/rock","140","major","2","{""guitar"":true,""bass"":true,""piano"":true,""strings"":false,""winds"":false}","dist","dist","","","","","","","","","","","","","","",""
"2026-05-01T01:36:17.120Z","Graham","2026-05-01T01:36:17.118Z","142.17","28","groove/funky","90","minor","3","{""guitar"":false,""bass"":false,""piano"":true,""strings"":true,""winds"":true}","","","default","dist","phaser","mars scape","lizard_species","breakdance","lizard_species","breakdance","werewolf","werewolf","werewolf","werewolf","vampire","vampire","vampire"
