timestamp,command,mode,abletonIP,unityIP
"2026-04-22T17:43:22.253Z","start_vote","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:43:43.502Z","lock_and_average","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:45:28.110Z","reset","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:45:29.072Z","start_vote","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:45:31.468Z","start_vote","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:45:59.589Z","lock_and_average","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:46:36.239Z","initiate_performance","audio","127.0.0.1","127.0.0.1"
