timestamp,round,count,mode,tempo,genre,mode_val,environment,humanGuitarTone,instruments,fx_choices,dancers,band,ai_audio,ai_instruments,distributions
"2026-04-22T17:34:34.915Z","1","1","both","115","pulse/hiphop","minor","mars scape","2","{""guitar"":0,""bass"":0,""piano"":0,""strings"":0,""winds"":0}","{""piano"":""echo"",""guitar"":""default"",""bass"":""reverb"",""strings"":""default"",""winds"":""dist""}","{""d1"":{""char"":""webbed_and_armored"",""move"":""breakdance""},""d2"":{""char"":""y-bot"",""move"":""drink""}}","{""members"":{""drum1"":null,""drum2"":""vampire"",""guitar"":null,""bass"":null,""piano"":null,""strings"":null,""winds"":null}}","true","true","{""genre"":{""pulse/hiphop"":1},""mode"":{""minor"":1},""environment"":{""mars scape"":1},""tone"":{""2"":1},""fx"":{""piano_fx_choice"":{""none"":1},""guitar_fx_choice"":{""none"":1},""bass_fx_choice"":{""none"":1},""strings_fx_choice"":{""none"":1},""winds_fx_choice"":{""none"":1}},""d1_move"":{""breakdance"":1},""d2_move"":{""drink"":1},""band"":{""drum1"":{},""drum2"":{""vampire"":1},""guitar"":{},""bass"":{},""piano"":{},""strings"":{},""winds"":{}}}"
"2026-04-22T17:36:41.656Z","2","2","audio","115","drive/rock","major","mars scape","3","{""guitar"":0,""bass"":0,""piano"":0,""strings"":2,""winds"":0}","{""piano"":""default"",""guitar"":""airy"",""bass"":""reverb"",""strings"":""default"",""winds"":""default""}","{""d1"":{""char"":""webbed_and_armored"",""move"":""latin""},""d2"":{""char"":""vampire"",""move"":""hiphop""}}","{""members"":{""drum1"":null,""drum2"":null,""guitar"":null,""bass"":null,""piano"":null,""strings"":null,""winds"":null}}","true","true","{""genre"":{""drive/rock"":1},""mode"":{""major"":2},""environment"":{""mars scape"":2},""tone"":{""3"":2},""fx"":{""piano_fx_choice"":{""none"":2},""guitar_fx_choice"":{""none"":2},""bass_fx_choice"":{""none"":2},""strings_fx_choice"":{""none"":2},""winds_fx_choice"":{""none"":2}},""d1_move"":{""latin"":2},""d2_move"":{""hiphop"":2},""band"":{""drum1"":{},""drum2"":{},""guitar"":{},""bass"":{},""piano"":{},""strings"":{},""winds"":{}}}"
"2026-04-22T17:38:21.960Z","3","2","visual","115","pulse/hiphop","minor","haunted forest","2","{""guitar"":2,""bass"":0,""piano"":0,""strings"":2,""winds"":2}","{""piano"":""default"",""guitar"":""default"",""bass"":""reverb"",""strings"":""default"",""winds"":""default""}","{""d1"":{""char"":""flesh_eater"",""move"":""breakdance""},""d2"":{""char"":""y-bot"",""move"":""hiphop""}}","{""members"":{""drum1"":null,""drum2"":null,""guitar"":null,""bass"":null,""piano"":null,""strings"":null,""winds"":null}}","true","true","true","{""genre"":{""pulse/hiphop"":2},""mode"":{""minor"":2},""environment"":{""haunted forest"":2},""tone"":{""2"":2},""fx"":{""piano_fx_choice"":{""none"":2},""guitar_fx_choice"":{""none"":2},""bass_fx_choice"":{""none"":2},""strings_fx_choice"":{""none"":2},""winds_fx_choice"":{""none"":2}},""d1_move"":{""breakdance"":2},""d2_move"":{""hiphop"":2},""band"":{""drum1"":{},""drum2"":{},""guitar"":{},""bass"":{},""piano"":{},""strings"":{},""winds"":{}}}"
