timestamp,command,mode,abletonIP,unityIP
"2026-04-22T17:32:04.602Z","start_vote","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:34:34.914Z","lock_and_average","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:35:00.502Z","initiate_performance","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:36:19.988Z","reset","both","127.0.0.1","127.0.0.1"
"2026-04-22T17:36:23.696Z","start_vote","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:36:41.656Z","lock_and_average","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:36:49.896Z","initiate_performance","audio","127.0.0.1","127.0.0.1"
"2026-04-22T17:37:59.133Z","start_vote","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:38:00.287Z","reset","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:38:01.381Z","start_vote","visual","127.0.0.1","127.0.0.1"
"2026-04-22T17:38:21.960Z","lock_and_average","visual","127.0.0.1","127.0.0.1"
